region_clean,n_obs,mean_z,sd_z,tail_prob
Right temporal pole thickness,1902,-2.1507182028572766e-4,1.1064186545673975,0.07781282860147214
Left temporal pole thickness,1902,-2.1288559388765903e-5,1.0881270942354586,0.07045215562565721
Right entorhinal thickness,1902,3.714176192510445e-4,1.019563708728276,0.054679284963196635
Left entorhinal thickness,1902,1.21022146589839e-4,0.9712575970459332,0.05152471083070452
Right inferior temporal thickness,1902,1.4171634586714597e-4,0.9305459700801281,0.04100946372239748
Left inferior temporal thickness,1902,-6.720243941186616e-5,0.9270833967115277,0.03785488958990536
Left posterior cingulate thickness,1902,-4.57652954077167e-4,1.0108313156653577,0.035226077812828605
Left amygdala volume,1902,2.5574182358540395e-4,0.8713243252746993,0.0341745531019979
Right amygdala volume,1902,-2.0526644089278987e-4,0.9168847325310602,0.033123028391167195
Left middle temporal thickness,1902,7.681248982953054e-5,0.8349520081890247,0.028916929547844375
Right parahippocampal thickness,1902,-3.0201773302998645e-4,0.8216254169062026,0.02576235541535226
Right middle temporal thickness,1902,4.90490349990328e-4,0.8174242319706377,0.024710830704521555
Right precuneus thickness,1902,1.5118351365798764e-4,0.7663469579757108,0.017875920084121977
Right posterior cingulate thickness,1902,1.1127531542961723e-4,0.80467580843099,0.015772870662460567
Left precuneus thickness,1902,-9.617370663225511e-5,0.7518272669255001,0.015247108307045216
Left hippocampus volume,1902,-1.8572966584953296e-4,0.6442902898591146,0.012092534174553101
Left parahippocampal thickness,1902,2.376483802426912e-4,0.6715555373904837,0.006834910620399579
Right hippocampus volume,1902,-3.7266489625743435e-4,0.5966401222238531,0.006309148264984227
Total hippocampus volume,1902,-4.088200115731093e-5,0.5737296857457717,0.006309148264984227
