variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,1296.93685475,1297.58,124.44500364989958,125.55398100000008,1091.3715000000002,1497.5005,1.009427160824961,730.0027864875326,1425.6570697801806
alpha[1],-0.145758452875,-0.1466535,0.03636017609957799,0.03645342750000002,-0.20429655,-0.08376643000000004,1.0140568637380416,377.87789351489846,426.53188476019614
alpha[2],-0.1406122805725,-0.1413555,0.03551894146489352,0.0353992989,-0.1988741,-0.08086618000000005,1.0147990416908166,346.157532197441,556.294898338088
alpha[3],-0.09942102701175,-0.0996745,0.03614224419997771,0.035883590189999995,-0.15928125,-0.039180375,1.0191905953155251,365.99096311290407,693.4118652116216
alpha[4],-0.098462523258525,-0.09846915,0.05325639953929044,0.05302830245999999,-0.1865194,-0.00901623250000001,1.0137635593639003,460.5535668619001,1184.8929439516194
alpha[5],-0.12412740054335,-0.1242395,0.05204978609074974,0.05046703683000001,-0.20972725,-0.03911765500000001,1.004764265504469,514.5304149586439,1004.9044762192801
alpha[6],-0.089789191945,-0.08982565,0.03552032694797599,0.03461329851,-0.1483617,-0.030633955000000008,1.0195360783393221,320.60588038338034,347.0890834054529
alpha[7],-0.11313262421612501,-0.11455399999999999,0.0502878772975946,0.050033598719999975,-0.19060069999999998,-0.027337780000000127,1.0043664545451936,526.8953479531481,761.1950457026213
alpha[8],-0.1400761281035,-0.141093,0.051428434934118264,0.051257188499999995,-0.22510929999999998,-0.05373599000000001,1.0044825624837843,400.3020928117979,813.3594126319659
alpha[9],-0.12368049309,-0.12420400000000001,0.03588709918411667,0.036149494499999976,-0.182479,-0.064210675,1.017365508004791,361.9342575448066,502.66493708915004
alpha[10],-0.1298250123825,-0.130326,0.03604611525743472,0.03615468360000001,-0.18887630000000002,-0.07003646000000001,1.0157952015947642,361.74626249010026,631.1988233885194
alpha[11],-0.13388703984325,-0.134511,0.05298873083797316,0.054217051139999986,-0.22026005,-0.04729027000000003,1.014030002260732,496.37120463997684,1086.2219297200015
alpha[12],-0.137842540922,-0.1378155,0.0522368584265482,0.049778294999999986,-0.22512715,-0.051852030000000014,1.0116499589876016,520.9587080209911,1025.4560960020044
alpha[13],-0.10351187967424999,-0.10312199999999999,0.035856519187003014,0.035413680119999985,-0.16232064999999998,-0.04302298000000001,1.0158944670422234,329.7529278002003,381.5702765998259
alpha[14],-0.106900622923125,-0.1074995,0.05197860788947051,0.052153271939999996,-0.19089340000000002,-0.021609405000000033,1.0109890572944273,364.24521406796026,598.5520678121001
alpha[15],-0.14107753920125,-0.14139649999999998,0.05262996392594297,0.052212724200000005,-0.2267227,-0.05651029000000003,1.0063306982165385,391.3068668045801,955.281969292361
alpha[16],-0.13369302524499999,-0.1333155,0.0356866096745111,0.03437927009999999,-0.19284120000000002,-0.07491474500000002,1.024335154632874,320.56601772226037,527.1562079826529
alpha[17],-0.159129405625,-0.15980850000000002,0.03575316987096201,0.036646906800000004,-0.21714435,-0.10022425,1.0113370344874453,356.3592438526277,477.4727749621669
alpha[18],-0.14486779085,-0.145075,0.036163202525771126,0.035999751900000015,-0.20345985,-0.08367574,1.0205096594305338,360.6092591229113,510.6297815023803
alpha[19],-0.144606109475,-0.145453,0.03627832077817771,0.03591672629999999,-0.20395655000000001,-0.08400540000000001,1.0147027554290327,399.37710072522526,757.5863200589222
beta_age[1],-0.366308002,-0.3657435,0.021071438164268097,0.020662996200000006,-0.40140909999999996,-0.33212040000000004,1.0013426833331949,1650.1077168243296,2306.7263668213723
beta_age[2],-0.489104307,-0.489115,0.020704786568290456,0.020898729599999995,-0.5234264,-0.45562035,1.0022454188945715,1334.8933643044465,2428.8167009103963
beta_age[3],-0.28949570875,-0.28962,0.020654513949813713,0.021209334299999997,-0.32299655,-0.25544625000000004,1.0027575268846782,1103.3355368751947,2378.733271243321
beta_age[4],-0.255593107,-0.255811,0.02531557510313073,0.02533837529999997,-0.2968795,-0.212925,1.0019021995089847,1452.4568756341616,1858.735062887598
beta_age[5],-0.29980818,-0.299823,0.02500713574489573,0.024978103500000022,-0.34017450000000005,-0.25825145000000005,1.0002610615346337,1443.417952739097,2212.0553515173056
beta_age[6],-0.21701742675,-0.216858,0.02056440376465319,0.020595537900000002,-0.2503262,-0.18289045,1.0009650625854947,1657.5846477078694,2001.3312471419301
beta_age[7],-0.3282387195,-0.3281145,0.02549556611871459,0.025630447500000014,-0.37025854999999996,-0.2861382,1.0029755144938075,1113.531700697346,1970.5121939618527
beta_age[8],-0.56588391525,-0.5659624999999999,0.025232993616905328,0.02490916259999985,-0.6074830500000001,-0.5239726,1.0027204209420466,1145.3782541886426,2253.4828821578394
beta_age[9],-0.17857830525,-0.178202,0.020650452552576914,0.020918003400000013,-0.21238105000000002,-0.14490400000000003,1.0003484224644652,1961.5637983593876,2772.086525824058
beta_age[10],-0.309344872,-0.3092035,0.02066778139486827,0.02035832190000001,-0.34277345,-0.27534974999999995,1.0000872838625354,1270.0628299731325,2156.8817705889915
beta_age[11],-0.251188191,-0.250962,0.025504566757570898,0.024924729899999987,-0.29330880000000004,-0.20922155,1.0010279421550463,1570.1853465492336,1994.5440877477654
beta_age[12],-0.31947762975,-0.318878,0.024879947301915648,0.025734229499999997,-0.359561,-0.27971330000000005,1.0007829457060187,1639.6168358159384,2395.8537417825673
beta_age[13],-0.19857079025,-0.198658,0.020694923995971913,0.020672633100000014,-0.23285975,-0.1643999,1.0006200766896878,1524.5750794774342,2525.6329717081508
beta_age[14],-0.127867651575,-0.127378,0.025669782281963472,0.026534092199999994,-0.1694591,-0.086631135,1.0027829958634635,1512.1348078875126,2068.8349833855636
beta_age[15],-0.55037105575,-0.5505025,0.025363693827640487,0.025474774499999985,-0.5916049,-0.5078379000000001,1.0010776594851774,1415.882758645256,2074.73422439408
beta_age[16],-0.1861926505,-0.18572650000000002,0.021152454010800254,0.02118190620000001,-0.22063565000000002,-0.15195315,1.000937149250412,1461.600726501177,2488.472750790576
beta_age[17],-0.37559193075,-0.3753525,0.020484451221717395,0.02089131660000003,-0.40965395,-0.3427199000000001,1.0016118200508295,1677.7567985213288,2671.7967483061416
beta_age[18],-0.51951131725,-0.519555,0.020990836979808136,0.02110036319999995,-0.5544229,-0.48566255,1.0009499248242084,1141.6809841747927,2144.926464817178
beta_age[19],-0.51632604275,-0.5158415,0.02145567402519417,0.02121007559999998,-0.55151395,-0.48204684999999997,1.0034973750417875,1260.7144445082454,1987.1119671937408
gamma_version_raw[1],-0.8464613475775,-0.8441365,0.6207594255007544,0.6341183981999999,-1.8948955,0.14547169999999987,1.000019278319762,1635.880252148864,2088.33193291923
gamma_version_raw[2],-0.5287969122295,-0.5282565,0.5572214359622918,0.5747061684,-1.45077,0.3703382999999999,1.0012818187775594,1981.3961586804132,2068.6633868685094
gamma_version_raw[3],0.92241118516375,0.9056715,0.6261160969036322,0.6233347070999999,-0.10654854999999998,1.96116,1.0016195194471245,2044.203221463201,2358.4264510866496
gamma_version_raw[4],0.432775368436225,0.4329925,0.5297087859948413,0.53442948615,-0.4463279,1.2901064999999992,1.0005697285733492,2069.0504895898985,2528.724370354014
b_raw[1],1.4418038475,1.4410699999999999,0.10585606995849829,0.10724387100000005,1.2698055,1.6165375,1.0053798471637463,567.2792291221884,1767.960590196639
b_raw[2],0.7119795565,0.712624,0.11665882042397172,0.11700827460000002,0.5230490000000001,0.9022295999999999,1.0058231555391886,798.5376752848676,1486.864596409883
b_raw[3],0.75982447525,0.7613810000000001,0.10535660403395133,0.10383314969999999,0.5815792,0.9307393,1.0067462396083493,802.5744158196968,1540.4250469983006
b_raw[4],-0.659706152,-0.6604595,0.10436174642314339,0.1050637077,-0.83179485,-0.4838854,1.004474612409247,1110.7930634186368,2064.454052116192
b_raw[5],1.13593735125,1.134225,0.10456636130586207,0.10529425199999995,0.9638122499999999,1.3079595,1.0054017647660922,663.0323448181542,1425.7185233792716
b_raw[6],-1.4478656025,-1.444715,0.11200441410355945,0.11179545300000007,-1.636759,-1.2667615000000003,1.0051110195682422,647.7076778265462,1357.156353504586
b_raw[7],0.3949559917575,0.392256,0.11417774778749284,0.110609373,0.21310194999999998,0.5870443,1.004026006271587,885.7964755066384,1801.6723870961664
b_raw[8],0.2919803259725,0.291214,0.0999086003708438,0.1003445919,0.12953765,0.45614815000000003,1.0054019065906317,700.9337772963114,1766.954995977953
b_raw[9],-0.046449120019225,-0.0473946,0.1185004985481704,0.11812882368000001,-0.2406423,0.15113929999999998,1.002708102563007,1320.628755689099,1731.9988199500579
b_raw[10],-1.683988695,-1.68089,0.14025480668089887,0.13787438700000007,-1.9165965,-1.4537169999999997,1.0059680907003452,952.6772986481335,2292.1922493881493
b_raw[11],-0.580352818325,-0.579475,0.1587045368127891,0.1594921776,-0.84813695,-0.32173885,1.0024771566020354,1808.771874105951,2234.3152372330046
b_raw[12],0.195887220223975,0.19970700000000002,0.168199940922452,0.17009773431,-0.07816746,0.46866785,1.0011328646121718,1966.5417681095842,2163.9439419396617
b_raw[13],-2.4702858075,-2.47064,0.1722888984433692,0.1722929459999999,-2.764712,-2.1924945,1.0015353686373722,1194.7208204301576,2266.2807289106654
b_raw[14],0.604169906475,0.6013025000000001,0.15798776698967767,0.16113638099999988,0.34850990000000004,0.8641481499999997,1.003499893119698,1868.929997244207,2783.2256135643324
