Simulation scenario,Model,Mean bias,Mean squared error,Deviation map MSE
No spatial dependence,Independent cross-sectional model,0.031,1.145,0.847
No spatial dependence,Longitudinal non-spatial model,0.023,1.036,0.69
No spatial dependence,Bayesian longitudinal spatial model,0.002,0.887,0.352
Moderate spatial dependence,Independent cross-sectional model,0.031,1.177,0.928
Moderate spatial dependence,Longitudinal non-spatial model,0.022,1.027,0.718
Moderate spatial dependence,Bayesian longitudinal spatial model,0.002,0.908,0.385
Strong spatial dependence,Independent cross-sectional model,0.03,1.391,1.337
Strong spatial dependence,Longitudinal non-spatial model,0.018,1.074,0.93
Strong spatial dependence,Bayesian longitudinal spatial model,0.002,1.063,0.604
Variable visit schedule,Independent cross-sectional model,0.03,1.392,1.136
Variable visit schedule,Longitudinal non-spatial model,0.019,1.083,0.736
Variable visit schedule,Bayesian longitudinal spatial model,0.002,1.093,0.411
Missing follow-up,Independent cross-sectional model,0.029,1.385,1.119
Missing follow-up,Longitudinal non-spatial model,0.019,1.091,0.743
Missing follow-up,Bayesian longitudinal spatial model,0.002,1.086,0.41
Nonlinear mean structure,Independent cross-sectional model,0.058,1.242,0.973
Nonlinear mean structure,Longitudinal non-spatial model,0.043,1.088,0.758
Nonlinear mean structure,Bayesian longitudinal spatial model,0.005,0.971,0.409
