Simulation scenario,Model,z-score mean,z-score variance,Tail probability
No spatial dependence,Independent cross-sectional model,-0.025,0.981,0.044
No spatial dependence,Longitudinal non-spatial model,-0.02,0.92,0.037
No spatial dependence,Bayesian longitudinal spatial model,-0.002,0.966,0.046
Moderate spatial dependence,Independent cross-sectional model,-0.025,0.981,0.044
Moderate spatial dependence,Longitudinal non-spatial model,-0.018,0.904,0.036
Moderate spatial dependence,Bayesian longitudinal spatial model,-0.002,0.966,0.046
Strong spatial dependence,Independent cross-sectional model,-0.023,0.982,0.045
Strong spatial dependence,Longitudinal non-spatial model,-0.015,0.864,0.031
Strong spatial dependence,Bayesian longitudinal spatial model,-0.002,0.965,0.046
Variable visit schedule,Independent cross-sectional model,-0.023,0.98,0.047
Variable visit schedule,Longitudinal non-spatial model,-0.015,0.886,0.036
Variable visit schedule,Bayesian longitudinal spatial model,-0.002,0.96,0.045
Missing follow-up,Independent cross-sectional model,-0.022,0.981,0.047
Missing follow-up,Longitudinal non-spatial model,-0.015,0.889,0.036
Missing follow-up,Bayesian longitudinal spatial model,-0.001,0.964,0.046
Nonlinear mean structure,Independent cross-sectional model,-0.046,0.965,0.042
Nonlinear mean structure,Longitudinal non-spatial model,-0.035,0.89,0.034
Nonlinear mean structure,Bayesian longitudinal spatial model,-0.004,0.955,0.044
